broad_sample	broad_id	plate_map_name	solvent
BRD-K44876623-001-03-7	BRD-K44876623	C-7161-01-LM6-019	DMSO
BRD-K44974079-001-01-3	BRD-K44974079	C-7161-01-LM6-019	DMSO
BRD-A44863528-001-13-2	BRD-A44863528	C-7161-01-LM6-019	DMSO
BRD-K44942188-001-09-1	BRD-K44942188	C-7161-01-LM6-019	DMSO
BRD-K45033733-001-12-2	BRD-K45033733	C-7161-01-LM6-019	DMSO
BRD-K45158365-001-11-4	BRD-K45158365	C-7161-01-LM6-019	DMSO
BRD-K45245728-335-01-4	BRD-K45245728	C-7161-01-LM6-019	DMSO
BRD-K45330754-001-21-7	BRD-K45330754	C-7161-01-LM6-019	DMSO
BRD-K50691590-001-02-2	BRD-K50691590	C-7161-01-LM6-019	DMSO
BRD-K45168550-001-01-9	BRD-K45168550	C-7161-01-LM6-019	DMSO
BRD-K45252063-001-13-6	BRD-K45252063	C-7161-01-LM6-019	DMSO
BRD-K45503887-001-01-1	BRD-K45503887	C-7161-01-LM6-019	DMSO
BRD-K45746021-003-01-9	BRD-K45746021	C-7161-01-LM6-019	DMSO
BRD-K46133855-304-03-8	BRD-K46133855	C-7161-01-LM6-019	DMSO
BRD-K46290096-001-01-1	BRD-K46290096	C-7161-01-LM6-019	DMSO
BRD-K46424862-001-14-1	BRD-K46424862	C-7161-01-LM6-019	DMSO
BRD-K46654563-238-01-0	BRD-K46654563	C-7161-01-LM6-019	DMSO
BRD-A46179541-311-02-0	BRD-A46179541	C-7161-01-LM6-019	DMSO
BRD-K46604138-001-01-3	BRD-K46604138	C-7161-01-LM6-019	DMSO
BRD-K46692793-004-01-8	BRD-K46692793	C-7161-01-LM6-019	DMSO
BRD-K47095176-001-01-6	BRD-K47095176	C-7161-01-LM6-019	DMSO
BRD-K04887706-375-01-4	BRD-K04887706	C-7161-01-LM6-019	DMSO
BRD-K47642186-001-01-3	BRD-K47642186	C-7161-01-LM6-019	DMSO
BRD-A47364545-003-02-6	BRD-A47364545	C-7161-01-LM6-019	DMSO
BRD-K47554101-001-01-2	BRD-K47554101	C-7161-01-LM6-019	DMSO
BRD-K47639036-003-06-6	BRD-K47639036	C-7161-01-LM6-019	DMSO
BRD-K47780086-001-07-9	BRD-K47780086	C-7161-01-LM6-019	DMSO
BRD-K48195801-001-01-6	BRD-K48195801	C-7161-01-LM6-019	DMSO
BRD-A48237631-001-04-8	BRD-A48237631	C-7161-01-LM6-019	DMSO
BRD-K48367671-001-05-9	BRD-K48367671	C-7161-01-LM6-019	DMSO
BRD-K48461310-234-01-3	BRD-K48461310	C-7161-01-LM6-019	DMSO
BRD-K48213016-001-01-8	BRD-K48213016	C-7161-01-LM6-019	DMSO
BRD-K48300629-001-14-5	BRD-K48300629	C-7161-01-LM6-019	DMSO
BRD-A48570745-001-02-9	BRD-A48570745	C-7161-01-LM6-019	DMSO
BRD-K48894757-001-01-8	BRD-K48894757	C-7161-01-LM6-019	DMSO
BRD-K60230970-001-10-0	BRD-K60230970	C-7161-01-LM6-019	DMSO
BRD-K49215523-001-04-2	BRD-K49215523	C-7161-01-LM6-019	DMSO
BRD-K49350383-001-13-7	BRD-K49350383	C-7161-01-LM6-019	DMSO
BRD-K49075727-001-08-5	BRD-K49075727	C-7161-01-LM6-019	DMSO
BRD-A49160188-003-12-7	BRD-A49160188	C-7161-01-LM6-019	DMSO
BRD-K49328571-001-15-0	BRD-K49328571	C-7161-01-LM6-019	DMSO
